"[0, -0.00024, 0]"
"[0, -0.00144, 0]"
"[0, -0.00264, 0]"
"[0, -0.00384, 0]"
"[0, -0.00504, 0]"
"[0, -0.00624, 0]"
"[0, -0.00744, 0]"
"[0, -0.00864, 0]"
"[0, -0.00984, 0]"
"[0, -0.01104, 0]"
"[0, -0.01224, 0]"
"[0, -0.01344, 0]"
"[0, -0.01464, 0]"
"[0, -0.01584, 0]"
"[0, -0.01704, 0]"
"[0, -0.01824, 0]"
"[0, -0.01944, 0]"
"[0, -0.02064, 0]"
"[0, -0.02184, 0]"
"[0, -0.02256, 0]"
"[8e-05, -0.0216, 0]"
"[0.00018, -0.0204, 0]"
"[0.00028, -0.0192, 0]"
"[0.00038, -0.018, 0]"
"[0.00048, -0.0168, 0]"
"[0.00058, -0.0156, 0]"
"[0.00068, -0.0144, 0]"
"[0.00078, -0.0132, 0]"
"[0.00088, -0.012, 0]"
"[0.00098, -0.0108, 0]"
"[0.00108, -0.0096, 0]"
"[0.00118, -0.0084, 0]"
"[0.00128, -0.0072, 0]"
"[0.00138, -0.006, 0]"
"[0.00148, -0.0048, 0]"
"[0.00158, -0.0036, 0]"
"[0.00168, -0.0024, 0]"
"[0.00178, -0.0012, 0]"
"[0.00188, -1.77533e-09, 0]"
"[0.00198, -1.77533e-09, 0]"
"[0.00208, -1.77533e-09, 0]"
"[0.00218, -1.77533e-09, 0]"
"[0.00228, -1.77533e-09, 0]"
"[0.00238, -1.77533e-09, 0]"
"[0.00248, -1.77533e-09, 0]"
"[0.00258, -1.77533e-09, 0]"
"[0.00268, -1.77533e-09, 0]"
"[0.00278, -1.77533e-09, 0]"
"[0.00288, -1.77533e-09, 0]"
"[0.00298, -1.77533e-09, 0]"
"[0.00308, -1.77533e-09, 0]"
"[0.00318, -1.77533e-09, 0]"
"[0.00328, -1.77533e-09, 0]"
"[0.00338, -1.77533e-09, 0]"
"[0.00348, -1.77533e-09, 0]"
"[0.00357999, -1.77533e-09, 0]"
"[0.00367999, -1.77533e-09, 0]"
"[0.00377999, -1.77533e-09, 0]"
"[0.00387999, -1.77533e-09, 0]"
"[0.00397999, -1.77533e-09, 0]"
