1692951370.973571355 -0.00296643	-0.197183	0.980362	-0.000332465	-0.000648923	0.00154552	0.00099957	0.0653618	0.00797095	-9.83535	
1692951370.978465242 -0.00296615	-0.197182	0.980362	-0.00033326	6.12536e-05	0.00154552	0.00135466	0.0549995	0.016739	-9.82897	
1692951370.983455619 -0.00296541	-0.197184	0.980362	-0.000332941	-0.000293835	0.00403114	-6.56946e-05	0.0605792	-0.000797095	-9.83296	
1692951370.988453125 -0.0029604	-0.197185	0.980362	-0.00033267	-0.000293835	0.0022557	-0.000420783	0.0510141	-0.0247099	-9.8218	
1692951370.993508565 -0.00296004	-0.197187	0.980361	-0.000338269	6.12536e-05	0.00190061	0.000289393	0.0549995	-0.00797095	-9.82977	
1692951370.998584984 -0.00295958	-0.197188	0.980361	-0.00033871	-0.000293835	0.00190061	0.000644482	0.0581879	0.0175361	-9.82818	
1692951371.003464095 -0.00296158	-0.197186	0.980362	-0.000339879	-0.000293835	0.00190061	0.00099957	0.0685501	-0.000797095	-9.83774	
1692951371.008457531 -0.00295972	-0.197184	0.980362	-0.000340594	0.000771429	0.00154552	-0.000420783	0.066956	-0.00478257	-9.84332	
1692951371.013453595 -0.00295866	-0.197184	0.980362	-0.000341822	6.12536e-05	0.00261079	0.000644482	0.0725356	0.00478257	-9.8497	
1692951371.018456358 -0.00296006	-0.197185	0.980362	-0.000340962	6.12536e-05	0.00190061	-6.56946e-05	0.0581879	0.00637676	-9.85368	
1692951371.023503822 -0.00295961	-0.197185	0.980362	-0.000341403	0.000771429	0.00154552	0.00170975	0.0526083	-0.0191303	-9.86006	
1692951371.028465677 -0.00296099	-0.197184	0.980362	-0.000343119	-0.000293835	0.00261079	0.000644482	0.0542024	-0.0119564	-9.84651	
1692951371.033454357 -0.00296221	-0.197183	0.980362	-0.000343201	-0.000293835	0.0022557	0.00135466	0.0462315	0.00717385	-9.8489	
1692951371.038453401 -0.0029636	-0.197187	0.980361	-0.000343549	0.000771429	0.00261079	0.00135466	0.0534053	0.00956514	-9.84811	
1692951371.043477917 -0.00296093	-0.197187	0.980361	-0.000343769	0.000416342	0.00261079	-6.56946e-05	0.0573908	-0.00557966	-9.83934	
