action
"[0, -0.00024, 0]"
"[0, -0.00144, 0]"
"[0, -0.00264, 0]"
"[0, -0.00384, 0]"
"[0, -0.00504, 0]"
"[0, -0.00624, 0]"
"[0, -0.00744, 0]"
"[0, -0.00864, 0]"
"[0, -0.00984, 0]"
"[0, -0.01104, 0]"
"[0, -0.01224, 0]"
"[0, -0.01344, 0]"
"[0, -0.01464, 0]"
"[0, -0.01584, 0]"
"[0, -0.01704, 0]"
"[0, -0.01824, 0]"
"[0, -0.01944, 0]"
"[0, -0.02064, 0]"
"[0, -0.02184, 0]"
"[0, -0.02304, 0]"
"[0, -0.02424, 0]"
"[0, -0.02544, 0]"
"[0, -0.02664, 0]"
"[0, -0.02784, 0]"
"[0, -0.02904, 0]"
"[0, -0.03024, 0]"
"[0, -0.03144, 0]"
"[0, -0.03264, 0]"
"[0, -0.03384, 0]"
"[0, -0.03504, 0]"
"[0, -0.03624, 0]"
"[0, -0.03744, 0]"
"[2e-05, -0.03744, 0]"
"[0.00012, -0.03624, 0]"
"[0.00022, -0.03504, 0]"
"[0.00032, -0.03384, 0]"
"[0.00042, -0.03264, 0]"
"[0.00052, -0.03144, 0]"
"[0.00062, -0.03024, 0]"
"[0.00072, -0.02904, 0]"
"[0.00082, -0.02784, 0]"
"[0.00092, -0.02664, 0]"
"[0.00102, -0.02544, 0]"
"[0.00112, -0.02424, 0]"
"[0.00122, -0.02304, 0]"
"[0.00132, -0.02184, 0]"
"[0.00142, -0.02064, 0]"
"[0.00152, -0.01944, 0]"
"[0.00162, -0.01824, 0]"
"[0.00172, -0.01704, 0]"
"[0.00182, -0.01632, 0]"
"[0.00192, -0.01632, 0]"
"[0.00202, -0.01632, 0]"
"[0.00212, -0.01632, 0]"
"[0.00222, -0.01632, 0]"
"[0.00232, -0.01632, 0]"
"[0.00242, -0.01632, 0]"
"[0.00252, -0.01632, 0]"
"[0.00262, -0.01632, 0]"
"[0.00272, -0.01632, 0]"
"[0.00282, -0.01632, 0]"
"[0.00292, -0.01632, 0]"
"[0.00302, -0.01632, 0]"
"[0.00312, -0.01632, 0]"
"[0.00322, -0.01632, 0]"
"[0.00332, -0.01632, 0]"
