action
"[0.00175579, -0.00956506, 0.226506]"
"[0.00222856, -0.0102987, 0.2549]"
"[0.00281854, -0.0104487, 0.28139]"
"[0.00342719, -0.0104479, 0.30963]"
"[0.00397068, -0.0104641, 0.337659]"
"[0.00446365, -0.0105344, 0.362291]"
"[0.00500826, -0.0107745, 0.389434]"
"[0.00545641, -0.0110587, 0.410948]"
"[0.00574476, -0.0113208, 0.423545]"
"[0.00584203, -0.0117339, 0.431136]"
"[0.00586871, -0.012238, 0.435901]"
"[0.00588545, -0.0130173, 0.441633]"
"[0.00590406, -0.0141427, 0.449654]"
"[0.00593397, -0.0156829, 0.461124]"
"[0.00597389, -0.0176277, 0.476401]"
"[0.00599965, -0.0186724, 0.485436]"
"[0.00600304, -0.0188198, 0.487626]"
"[0.00598994, -0.0190492, 0.489462]"
"[0.0058254, -0.0196858, 0.493174]"
"[0.00576083, -0.0209915, 0.501116]"
"[0.00559586, -0.0223391, 0.50921]"
"[0.00510041, -0.0230687, 0.508991]"
"[0.00469369, -0.0232317, 0.50134]"
"[0.00448567, -0.0236126, 0.498069]"
"[0.00415317, -0.024371, 0.493803]"
"[0.00370164, -0.025299, 0.487725]"
"[0.00331679, -0.026594, 0.485935]"
"[0.00303093, -0.0281318, 0.4887]"
"[0.00294556, -0.0289618, 0.492151]"
"[0.0029673, -0.0291444, 0.494177]"
"[0.00302168, -0.0292127, 0.496577]"
"[0.00322307, -0.0295182, 0.506435]"
"[0.00347353, -0.030025, 0.519428]"
"[0.00376368, -0.0306656, 0.534335]"
"[0.00399404, -0.0318149, 0.55077]"
"[0.00414951, -0.0332979, 0.567206]"
"[0.00426251, -0.0342241, 0.580123]"
"[0.00429088, -0.034668, 0.588359]"
"[0.00430641, -0.035139, 0.596375]"
"[0.00433243, -0.0357284, 0.6094]"
"[0.00436814, -0.0367871, 0.624837]"
"[0.00441683, -0.0384271, 0.643822]"
"[0.00445578, -0.0398699, 0.662153]"
"[0.00447488, -0.0408628, 0.675304]"
"[0.00444545, -0.0421309, 0.688778]"
"[0.00414458, -0.0429941, 0.697793]"
"[0.00379653, -0.0430418, 0.700749]"
"[0.00352151, -0.0431749, 0.706376]"
"[0.00320446, -0.0433469, 0.711718]"
"[0.00283692, -0.0435191, 0.719892]"
"[0.00264871, -0.0438781, 0.739896]"
"[0.0025201, -0.0443482, 0.776551]"
"[0.00229894, -0.0447156, 0.823387]"
"[0.00173712, -0.0449247, 0.850837]"
"[0.000680155, -0.045037, 0.867165]"
"[-5.309e-05, -0.0451449, 0.886985]"
"[-0.000406004, -0.0453425, 0.907896]"
"[-0.00063713, -0.045653, 0.93989]"
"[-0.000708568, -0.0461275, 1.00722]"
"[-0.000986957, -0.0465634, 1.11279]"
"[-0.00139687, -0.046878, 1.31575]"
"[-0.0016302, -0.0472211, 1.67225]"
"[-0.00197241, -0.0476759, 2.10368]"
"[-0.00237053, -0.0481175, 2.53277]"
"[-0.0024419, -0.0485454, 2.97584]"
"[-0.00255635, -0.0489915, 3.35109]"
"[-0.00257255, -0.0493791, 3.6649]"
"[-0.0025942, -0.0496826, 3.93892]"
"[-0.0025098, -0.0499429, 4.10601]"
"[-0.00244574, -0.0501772, 4.19555]"
"[-0.00240675, -0.0503844, 4.23778]"
"[-0.0023633, -0.0505878, 4.2638]"
"[-0.00227756, -0.0507662, 4.28181]"
"[-0.00214929, -0.0509903, 4.29162]"
"[-0.00203804, -0.0512657, 4.29301]"
"[-0.00188517, -0.0516085, 4.29249]"
"[-0.00175713, -0.0520305, 4.28637]"
"[-0.00168352, -0.0526022, 4.27551]"
"[-0.00172499, -0.0562287, 4.2563]"
"[-0.00141997, -0.0645682, 4.18317]"
"[-0.00073854, -0.0713655, 4.12489]"
