observation
"[0.00710116, 0.00091822, -0.0434528, -0.0259262, 0.999536, -0.0152543, 0.0043323, -2.17721, -2.34098, 0.539565]"
"[0.00690951, 0.000902928, -0.0432069, -0.0279324, 0.999478, -0.0154862, 0.00443408, -2.38229, -2.08232, 1.05523]"
"[0.00656391, 0.000907079, -0.0431345, -0.0294211, 0.99943, -0.0158489, 0.00432371, -2.27464, -2.07408, 1.46313]"
"[0.00643962, 0.000925404, -0.0430859, -0.0301046, 0.999408, -0.0159187, 0.00433384, -2.0898, -2.03263, 1.38367]"
"[0.00640825, 0.000956137, -0.0430568, -0.0311502, 0.999373, -0.0161072, 0.00439261, -2.06706, -1.91666, 1.38974]"
"[0.00639306, 0.000833487, -0.0430601, -0.0323269, 0.999335, -0.0160976, 0.00447643, -1.88388, -1.84909, 1.18236]"
"[0.00641653, 0.000701407, -0.0430371, -0.0343595, 0.999266, -0.0161331, 0.00467279, -1.84622, -1.45572, 1.16353]"
"[0.00645078, 0.000564781, -0.0430018, -0.0362695, 0.999198, -0.0160943, 0.00488872, -1.62088, -1.38607, 1.10008]"
"[0.0065179, 0.000602268, -0.0428705, -0.037813, 0.999139, -0.0161358, 0.00516246, -1.59587, -1.24554, 1.21047]"
"[0.00657143, 0.00059274, -0.042773, -0.0393698, 0.999081, -0.0159044, 0.00542333, -1.5348, -1.01664, 1.34031]"
"[0.00661244, 0.000439139, -0.0427366, -0.0411925, 0.99901, -0.0156525, 0.00568067, -1.38916, -0.838273, 1.49307]"
"[0.00667077, 0.000356062, -0.0426637, -0.0429952, 0.998937, -0.0153737, 0.00598322, -1.30241, -0.721731, 1.45818]"
"[0.00676906, 0.00025677, -0.0424753, -0.0447748, 0.998857, -0.0152956, 0.00639702, -1.17619, -0.646933, 1.41919]"
"[0.00689353, 0.000139082, -0.0421988, -0.0462138, 0.998793, -0.014992, 0.00687194, -1.2807, -0.822102, 1.72658]"
"[0.00700659, 7.20106e-05, -0.0419161, -0.0468523, 0.998762, -0.0149134, 0.00723925, -1.38991, -1.01675, 1.63441]"
"[0.00707594, 9.24498e-05, -0.0417376, -0.0474056, 0.998732, -0.0150216, 0.00747354, -1.39993, -1.09295, 1.53327]"
