"[0.00130019, 0.0060709, -0.0139857, -0.00120732, 0.999955, 0.00902108, 0.00157422]"
"[0.00113466, 0.00623325, -0.0146426, -0.0012519, 0.999954, 0.00917099, 0.00118473]"
"[0.000921069, 0.0062955, -0.0160336, -0.00132416, 0.999954, 0.00921554, 0.000364168]"
"[0.000797781, 0.00634544, -0.0176874, -0.00141103, 0.999954, 0.00923671, -0.000293689]"
"[0.000608209, 0.00636465, -0.0186068, -0.00145245, 0.999953, 0.00924771, -0.000781447]"
"[0.00036369, 0.00636878, -0.0191578, -0.00147227, 0.999953, 0.00924765, -0.00117127]"
"[6.63756e-05, 0.006372, -0.0197799, -0.00149248, 0.999952, 0.0092477, -0.00158521]"
"[-0.000163719, 0.00637907, -0.0204283, -0.00151574, 0.999952, 0.00925116, -0.00190405]"
"[-0.000360349, 0.00638567, -0.0210778, -0.00154188, 0.999951, 0.00924936, -0.00223338]"
"[-0.000499434, 0.00639984, -0.0220784, -0.00159117, 0.99995, 0.0092461, -0.00272151]"
"[-0.000505912, 0.00642673, -0.0237159, -0.00167838, 0.999948, 0.00924751, -0.00316343]"
"[-0.00035592, 0.00645118, -0.0252764, -0.00176868, 0.999948, 0.00923389, -0.00317152]"
"[-0.000396345, 0.00645501, -0.0264351, -0.00182754, 0.999948, 0.00921688, -0.00341486]"
"[-0.000474795, 0.00644701, -0.0274397, -0.00187597, 0.999947, 0.00919066, -0.00354154]"
"[-0.000376524, 0.00637734, -0.0290647, -0.00196482, 0.999948, 0.00908564, -0.00360584]"
"[-0.000282326, 0.00620295, -0.0308991, -0.00204825, 0.99995, 0.00888186, -0.00359917]"
"[-0.0002901, 0.00603815, -0.031937, -0.00208129, 0.999952, 0.00870208, -0.00346611]"
"[-0.000422223, 0.00592705, -0.0325109, -0.00208846, 0.999953, 0.00859381, -0.00331679]"
"[-0.000650069, 0.00582081, -0.033078, -0.00209092, 0.999955, 0.00848653, -0.00295517]"
"[-0.000846654, 0.00552231, -0.0338171, -0.00207577, 0.99996, 0.00820449, -0.00197355]"
"[-0.00102506, 0.00520073, -0.0345778, -0.00205883, 0.999964, 0.00790146, -0.000842312]"
"[-0.00108869, 0.00507621, -0.0351945, -0.00206487, 0.999965, 0.007778, -6.52667e-05]"
"[-0.00103946, 0.0049514, -0.0359717, -0.00208751, 0.999966, 0.0076447, 0.000436045]"
"[-0.000949727, 0.00474267, -0.036898, -0.00211309, 0.999967, 0.00743339, 0.000805656]"
"[-0.000876504, 0.00455173, -0.0377497, -0.0021429, 0.999968, 0.0072292, 0.00116969]"
"[-0.000899801, 0.00433255, -0.0384044, -0.00216489, 0.999969, 0.00701043, 0.00162258]"
"[-0.00103799, 0.00414609, -0.0388594, -0.00217697, 0.99997, 0.00682861, 0.00199346]"
"[-0.00111007, 0.00402535, -0.0391256, -0.00218226, 0.99997, 0.00671324, 0.00217747]"
"[-0.00119984, 0.00392715, -0.0393766, -0.00218908, 0.999971, 0.00661117, 0.00221115]"
"[-0.00127493, 0.00378252, -0.0396128, -0.00219093, 0.999972, 0.00647188, 0.00226165]"
"[-0.00133914, 0.00362527, -0.0398695, -0.00218381, 0.999972, 0.00632142, 0.00234427]"
"[-0.00145823, 0.00344047, -0.0402377, -0.00217322, 0.999974, 0.00614387, 0.00233101]"
"[-0.00149408, 0.00327066, -0.0406898, -0.00216903, 0.999975, 0.00597827, 0.002349]"
"[-0.00161599, 0.00311065, -0.0411277, -0.00215916, 0.999976, 0.0058237, 0.00235422]"
"[-0.00168758, 0.00289608, -0.0415788, -0.00214215, 0.999976, 0.00562031, 0.00264673]"
"[-0.00173879, 0.00257522, -0.0420517, -0.00210834, 0.999976, 0.00534341, 0.00311914]"
"[-0.00174116, 0.0022294, -0.042426, -0.002068, 0.999976, 0.00515965, 0.00341429]"
"[-0.0016759, 0.00193121, -0.0427353, -0.00203533, 0.999976, 0.00508305, 0.00361611]"
"[-0.00159174, 0.00163405, -0.0431826, -0.00200991, 0.999976, 0.00507016, 0.00376388]"
"[-0.0014511, 0.00129279, -0.0436957, -0.00198022, 0.999975, 0.00504837, 0.00401601]"
"[-0.00134127, 0.000918724, -0.0441231, -0.00194207, 0.999974, 0.00509949, 0.00421777]"
"[-0.00123672, 0.000540163, -0.0444169, -0.00190347, 0.999973, 0.00516453, 0.00441221]"
"[-0.00118637, 0.000158533, -0.0447356, -0.00186474, 0.999972, 0.0053395, 0.00448215]"
"[-0.00114519, -0.000194671, -0.044922, -0.00182486, 0.99997, 0.00553836, 0.00455831]"
"[-0.00110406, -0.000471059, -0.0449627, -0.00179713, 0.999969, 0.00570107, 0.00465187]"
"[-0.00107681, -0.00065944, -0.044985, -0.00177942, 0.999967, 0.00594919, 0.00471523]"
"[-0.00106659, -0.00074098, -0.0450286, -0.00177498, 0.999966, 0.00606984, 0.00473589]"
"[-0.00105365, -0.000838674, -0.045061, -0.00176881, 0.999965, 0.00619725, 0.00476023]"
"[-0.00105182, -0.000939578, -0.045108, -0.00176257, 0.999965, 0.00623837, 0.00476025]"
"[-0.00104715, -0.000994012, -0.0451691, -0.00176064, 0.999965, 0.00629823, 0.00475898]"
"[-0.00105793, -0.00111345, -0.0452714, -0.00175188, 0.999965, 0.00629933, 0.00471776]"
"[-0.00107248, -0.00126049, -0.045409, -0.00173787, 0.999965, 0.00629479, 0.00466275]"
"[-0.00108253, -0.00138831, -0.0455662, -0.00172773, 0.999966, 0.00627705, 0.0046173]"
"[-0.00108683, -0.00152955, -0.0457245, -0.00171367, 0.999966, 0.00633964, 0.00458866]"
"[-0.00109929, -0.00172298, -0.0459423, -0.00169597, 0.999966, 0.00637466, 0.00452927]"
"[-0.00108643, -0.00207192, -0.0461256, -0.00165215, 0.999965, 0.00647368, 0.00453533]"
"[-0.00103614, -0.00260921, -0.0461611, -0.00156933, 0.999963, 0.00667978, 0.00465841]"
"[-0.000993514, -0.0030851, -0.0461496, -0.00149682, 0.99996, 0.00703498, 0.00476809]"
"[-0.000946152, -0.00342208, -0.046122, -0.0014396, 0.999957, 0.00749564, 0.00488269]"
"[-0.000859735, -0.00377252, -0.0459947, -0.00137869, 0.999952, 0.00802929, 0.00507325]"
"[-0.000770511, -0.00404401, -0.0457524, -0.00132018, 0.999946, 0.00851146, 0.00531539]"
"[-0.000703281, -0.00427128, -0.0455459, -0.00127142, 0.999941, 0.00895533, 0.00551513]"
"[-0.00065681, -0.00445355, -0.0453876, -0.00123144, 0.999937, 0.00933113, 0.0056625]"
"[-0.000588045, -0.00459357, -0.0451684, -0.00119591, 0.999934, 0.00959669, 0.00586964]"
"[-0.000481576, -0.00478589, -0.0448467, -0.00114814, 0.999929, 0.00991609, 0.00617786]"
"[-0.000337402, -0.00496908, -0.0444309, -0.00109373, 0.999923, 0.0102447, 0.00658136]"
"[-0.000199783, -0.00513377, -0.0440345, -0.00104545, 0.999917, 0.0105687, 0.00696837]"
"[-1.55748e-05, -0.00529338, -0.0435052, -0.000991208, 0.999911, 0.0108016, 0.00748324]"
"[0.000189056, -0.00552399, -0.042924, -0.000923919, 0.999904, 0.0109904, 0.00804972]"
"[0.000424485, -0.00578208, -0.042255, -0.000846451, 0.999898, 0.0110724, 0.00870457]"
"[0.000710141, -0.00617282, -0.0413767, -0.000738538, 0.999891, 0.0110309, 0.00955146]"
"[0.000940921, -0.00669127, -0.0403029, -0.000599799, 0.999884, 0.0107756, 0.0105405]"
"[0.00107036, -0.00716158, -0.0398058, -0.000496924, 0.999881, 0.0105559, 0.01101]"
"[0.00108706, -0.00730386, -0.0397497, -0.000470064, 0.999881, 0.0104696, 0.0110658]"
"[0.00108322, -0.00738787, -0.0397492, -0.000456295, 0.999882, 0.0103912, 0.0110673]"
"[0.0010632, -0.00746243, -0.0397633, -0.00044518, 0.999883, 0.010327, 0.0110499]"
"[0.00105417, -0.00752214, -0.0397683, -0.000434549, 0.999884, 0.0102749, 0.0110425]"
"[0.00105184, -0.0075752, -0.0397701, -0.000426504, 0.999884, 0.010226, 0.011041]"
"[0.00105084, -0.00760534, -0.0397704, -0.000436058, 0.999885, 0.010175, 0.0110422]"
"[0.00105243, -0.00758844, -0.0397682, -0.000592376, 0.999887, 0.00994139, 0.0110482]"
"[0.00105109, -0.00755243, -0.0397707, -0.000847646, 0.99989, 0.00956247, 0.0110503]"
"[0.00105147, -0.00749342, -0.0397685, -0.00121629, 0.999895, 0.00902236, 0.0110601]"
"[0.00105134, -0.00731321, -0.0397741, -0.00206474, 0.999901, 0.00812056, 0.0110741]"
"[0.00104869, -0.00672131, -0.0397819, -0.00319412, 0.999906, 0.00712024, 0.0110874]"
"[0.00102568, -0.00553345, -0.0398102, -0.00490054, 0.999908, 0.00573468, 0.0110806]"
"[0.00100385, -0.00406219, -0.0398385, -0.00673265, 0.999904, 0.00442706, 0.0110707]"
"[0.000862199, -0.0020941, -0.0399665, -0.00893697, 0.999893, 0.00308153, 0.0109247]"
"[0.000687095, 0.000176576, -0.0401166, -0.0112892, 0.999874, 0.00186148, 0.0107409]"
"[0.000570191, 0.0017961, -0.0402076, -0.0130553, 0.999856, 0.000813413, 0.010621]"
"[0.000521553, 0.00265488, -0.0402439, -0.0144248, 0.999838, -0.000462214, 0.0105753]"
"[0.000503605, 0.00314732, -0.040258, -0.0152685, 0.999824, -0.00129215, 0.0105576]"
"[0.000475975, 0.00368176, -0.0402793, -0.0161596, 0.999809, -0.00215058, 0.0105295]"
