"[0.00610499, 0.0128369, -0.0130252, -0.0071066, 0.999569, 0.0261917, -0.0109458, 0.714991, -0.602639, 0.0246835]"
"[0.00624223, 0.012689, -0.013733, -0.00751734, 0.999569, 0.0258971, -0.0113928, 0.644939, -0.649989, -0.114153]"
"[0.00625027, 0.0124324, -0.0138888, -0.0079128, 0.999569, 0.0257291, -0.011501, 0.573349, -0.949843, -0.0158161]"
"[0.00624023, 0.0120886, -0.0139688, -0.00834232, 0.999568, 0.0256119, -0.0115626, 0.446015, -0.827066, -0.0790414]"
"[0.00621282, 0.0117456, -0.0141223, -0.00878806, 0.99957, 0.0253165, -0.0116868, 0.514708, -1.04794, -0.158201]"
"[0.00616798, 0.0115459, -0.0143401, -0.00930029, 0.999569, 0.025106, -0.0118657, 0.365138, -1.06745, 0.12313]"
"[0.00614012, 0.0113893, -0.0144739, -0.0103398, 0.999564, 0.0248292, -0.0119642, 0.285567, -0.981261, 0.0643203]"
"[0.00613548, 0.0109253, -0.014534, -0.0113379, 0.999562, 0.0244678, -0.011991, 0.275953, -1.0671, -0.08079]"
"[0.00605898, 0.0105387, -0.0148295, -0.0127144, 0.999554, 0.0239804, -0.0122345, 0.153701, -1.2616, 0.0502661]"
"[0.0059123, 0.0100388, -0.0153826, -0.0145148, 0.999536, 0.0234704, -0.0126984, 0.0777686, -1.13407, -0.0256176]"
"[0.00577429, 0.00925335, -0.0159429, -0.0159445, 0.99952, 0.0229736, -0.0131469, 0.331115, -1.09166, -0.405413]"
"[0.00567452, 0.0085936, -0.0163495, -0.017615, 0.999498, 0.0225118, -0.0134516, 0.286273, -1.13989, -0.036931]"
"[0.00559794, 0.00794478, -0.0166758, -0.0190759, 0.999486, 0.0217005, -0.0136851, 0.330467, -1.32885, -0.128899]"
"[0.00550582, 0.00753285, -0.0170379, -0.0203471, 0.999471, 0.0210527, -0.0139627, 0.331486, -1.50003, -0.297779]"
"[0.00535691, 0.00699323, -0.0176055, -0.0214163, 0.999461, 0.0201468, -0.0144321, 0.233985, -1.47478, -0.161623]"
"[0.00517508, 0.00642713, -0.018266, -0.0221529, 0.999453, 0.0193076, -0.0150085, 0.121793, -1.35924, -0.164508]"
"[0.0049799, 0.00605722, -0.0190795, -0.0230727, 0.999434, 0.0187369, -0.0156333, 0.123178, -1.20408, -0.288869]"
"[0.00485842, 0.00545822, -0.0197115, -0.0240311, 0.999417, 0.0180252, -0.016046, 0.0862809, -1.38868, -0.273065]"
"[0.00481508, 0.0049062, -0.0199476, -0.0258783, 0.999376, 0.0176813, -0.0161125, 0.0879094, -1.36138, -0.318233]"
"[0.00480252, 0.00434323, -0.0200838, -0.0279996, 0.999323, 0.0175295, -0.0160503, 0.0954799, -1.31897, -0.157777]"
"[0.00473708, 0.00409031, -0.0203749, -0.0298179, 0.999272, 0.0173309, -0.0161671, 0.0848905, -1.38236, -0.11482]"
"[0.00462484, 0.0040475, -0.0208548, -0.0315814, 0.999219, 0.016983, -0.0164507, 0.050032, -1.38148, -0.180956]"
"[0.00457711, 0.00388437, -0.0214131, -0.0331198, 0.999171, 0.0167294, -0.0166131, 0.201894, -1.58926, -0.331548]"
"[0.004603, 0.00364608, -0.0217596, -0.0341679, 0.99914, 0.0165094, -0.0165781, 0.127546, -1.30658, -0.343147]"
"[0.00463531, 0.00363703, -0.0217904, -0.0351321, 0.999114, 0.0161704, -0.0164637, 0.195002, -1.44634, -0.359557]"
"[0.00466223, 0.00356162, -0.0217802, -0.0360052, 0.999091, 0.0157567, -0.0163527, 0.177647, -1.52419, -0.256311]"
"[0.00467219, 0.00333908, -0.0217931, -0.0366223, 0.999076, 0.0153615, -0.0162899, 0.130419, -1.37015, -0.372388]"
"[0.00465435, 0.00300667, -0.0219691, -0.0378175, 0.999036, 0.0150586, -0.0162821, 0.193551, -1.49144, -0.545546]"
"[0.00458526, 0.00235549, -0.0225859, -0.0398211, 0.998957, 0.0149891, -0.0164107, 0.239812, -1.43793, -0.693089]"
"[0.00457942, 0.00149069, -0.0238533, -0.0416534, 0.998882, 0.0148274, -0.016558, 0.335413, -1.41006, -0.597239]"
"[0.00467785, 0.00087518, -0.0252549, -0.0431953, 0.998821, 0.0146003, -0.0165169, 0.0933347, -1.21935, -0.439112]"
"[0.00473974, 0.000503102, -0.0261378, -0.0445627, 0.998763, 0.0145462, -0.0164298, 0.0371602, -1.43767, -0.388074]"
"[0.0047445, 0.00021125, -0.0266327, -0.04547, 0.998726, 0.0142641, -0.0164465, 0.0902058, -1.32269, -0.571924]"
"[0.00474069, -6.01067e-05, -0.0270366, -0.0457884, 0.998714, 0.0140539, -0.0165036, 0.0369414, -1.4027, -0.49726]"
"[0.00475952, -0.000248953, -0.0272429, -0.0458773, 0.998712, 0.013888, -0.0164878, -0.0894946, -1.54646, -0.502766]"
"[0.00472599, -0.000399155, -0.0274332, -0.0459135, 0.99871, 0.013789, -0.0165955, -0.118809, -1.34633, -0.433481]"
"[0.00466746, -0.000604186, -0.0277574, -0.0459494, 0.998707, 0.0136749, -0.0167829, -0.231171, -1.23452, -0.345652]"
"[0.00461629, -0.000851921, -0.0281647, -0.0459682, 0.998703, 0.0136554, -0.0169537, -0.218951, -1.70836, -0.218983]"
"[0.00458985, -0.00103005, -0.028708, -0.0459964, 0.998699, 0.0136467, -0.0171304, 0.0895843, -1.5059, -0.678155]"
"[0.00463119, -0.00112853, -0.0294992, -0.0459974, 0.998699, 0.0135758, -0.0172123, -0.121528, -1.52049, -0.567348]"
